"benchmark", "count", "time (ms)"
branches, 1, 45
branches, 10, 11
branches, 100, 14
branches, 1000, 110
vars, 1, 11
vars, 10, 10
vars, 100, 11
vars, 1000, 18
mod_inline, 1, 10
mod_inline, 10, 11
mod_inline, 100, 17
mod_inline, 1000, 80
rec_inline, 1, 10
rec_inline, 10, 11
rec_inline, 100, 17
rec_inline, 1000, 70
scoped_vars, 1, 10
scoped_vars, 10, 10
scoped_vars, 100, 11
scoped_vars, 1000, 18
