"Benchmark","Param: count","Score","Unit","Samples"
"branches",1000,145,"ms/op",1
"branches",3000,803,"ms/op",1
"branches",5000,2213,"ms/op",1
"vars",1000,17,"ms/op",1
"vars",3000,53,"ms/op",1
"vars",5000,45,"ms/op",1
"mod_inline",1000,84,"ms/op",1
"mod_inline",3000,228,"ms/op",1
"mod_inline",5000,375,"ms/op",1
"scoped_vars",1000,24,"ms/op",1
"scoped_vars",3000,39,"ms/op",1
"scoped_vars",5000,46,"ms/op",1
