"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.BranchBenchmark.run","avgt",1,5,0.614424,0.085247,"ms/op",1
"org.example.BranchBenchmark.run","avgt",1,5,4.267129,0.290472,"ms/op",10
"org.example.BranchBenchmark.run","avgt",1,5,39.705381,0.789642,"ms/op",100
"org.example.BranchBenchmark.run","avgt",1,5,571.779336,70.616075,"ms/op",1000
"org.example.BranchBenchmark.run","avgt",1,5,1433.790407,61.615160,"ms/op",2000
"org.example.BranchBenchmark.run","avgt",1,5,2686.758700,135.003759,"ms/op",3000
