"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.dr.BranchBenchmark.run","avgt",1,5,6.833835,1.494038,"ms/op",1000
"org.example.dr.BranchBenchmark.run","avgt",1,5,22.065240,3.512316,"ms/op",3000
"org.example.dr.BranchBenchmark.run","avgt",1,5,34.943397,4.110556,"ms/op",5000
"org.example.dr.ModInlineBenchmark.run","avgt",1,5,8.457734,3.002364,"ms/op",1000
"org.example.dr.ModInlineBenchmark.run","avgt",1,5,25.181274,0.458799,"ms/op",3000
"org.example.dr.ModInlineBenchmark.run","avgt",1,5,43.221909,3.598119,"ms/op",5000
"org.example.dr.RecInlineBenchmark.run","avgt",1,5,6.554143,0.146171,"ms/op",1000
"org.example.dr.RecInlineBenchmark.run","avgt",1,5,20.633902,2.221883,"ms/op",3000
"org.example.dr.RecInlineBenchmark.run","avgt",1,5,35.374179,1.062937,"ms/op",5000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,5,14.085546,1.584070,"ms/op",1000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,5,133.715596,2.430067,"ms/op",3000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,5,480.168054,5.678531,"ms/op",5000
"org.example.dr.VarsBenchmark.run","avgt",1,5,5.245358,0.371390,"ms/op",1000
"org.example.dr.VarsBenchmark.run","avgt",1,5,15.769660,2.067735,"ms/op",3000
"org.example.dr.VarsBenchmark.run","avgt",1,5,25.678384,3.221390,"ms/op",5000
