"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: count"
"org.example.dr.BranchBenchmark.run","avgt",1,3,7.461290,5.417339,"ms/op",1000
"org.example.dr.BranchBenchmark.run","avgt",1,3,22.866737,6.220294,"ms/op",3000
"org.example.dr.BranchBenchmark.run","avgt",1,3,38.999799,10.030900,"ms/op",5000
"org.example.dr.ModInlineBenchmark.run","avgt",1,3,7.893450,0.844510,"ms/op",1000
"org.example.dr.ModInlineBenchmark.run","avgt",1,3,25.287862,10.596169,"ms/op",3000
"org.example.dr.ModInlineBenchmark.run","avgt",1,3,42.608900,4.647359,"ms/op",5000
"org.example.dr.RecInlineBenchmark.run","avgt",1,3,6.505094,0.823457,"ms/op",1000
"org.example.dr.RecInlineBenchmark.run","avgt",1,3,20.663944,3.290264,"ms/op",3000
"org.example.dr.RecInlineBenchmark.run","avgt",1,3,35.072209,4.652709,"ms/op",5000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,3,15.031055,15.674768,"ms/op",1000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,3,139.242956,50.584631,"ms/op",3000
"org.example.dr.ScopedVarsBenchmark.run","avgt",1,3,479.794495,39.349408,"ms/op",5000
"org.example.dr.VarsBenchmark.run","avgt",1,3,5.464003,7.901910,"ms/op",1000
"org.example.dr.VarsBenchmark.run","avgt",1,3,17.029269,27.707385,"ms/op",3000
"org.example.dr.VarsBenchmark.run","avgt",1,3,28.575529,39.734992,"ms/op",5000
